entidad,relacion,objetos,pregunta,respuestas,obtenido_de,respuestas_aliases
Alfredo Espino Najarro,Fecha de defunción,['1928-05-24'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Espino Najarro?,['1928-05-24'],['el_salvador'],[[]]
Alfredo González Flores,Fecha de defunción,['1962-12-28'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo González Flores?,['1962-12-28'],['costa_rica'],[[]]
Alfredo Layne,Fecha de defunción,['1999-06-25'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Layne?,['1999-06-25'],['panama'],[[]]
Alfredo Martínez Moreno,Fecha de defunción,['2021-10-02'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Martínez Moreno?,['2021-10-02'],['el_salvador'],[[]]
Alfredo Mury,Fecha de defunción,['1997-07-14'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Mury?,['1997-07-14'],['guatemala'],[[]]
Alfredo Pareja Díez Canseco,Fecha de defunción,['1993-05-03'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Pareja Díez Canseco?,['1993-05-03'],['ecuador'],[[]]
Alfredo Piedra Mora,Fecha de defunción,['2003-12-18'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Piedra Mora?,['2003-12-18'],['costa_rica'],[[]]
Alfredo Poveda,Fecha de defunción,['1990-06-07'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Poveda?,['1990-06-07'],['ecuador'],[[]]
Alfredo Poviña,Fecha de defunción,['1986-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Poviña?,['1986-01-01'],['argentina'],[[]]
Alfredo Ruano,Fecha de defunción,['1987-07-17'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Ruano?,['1987-07-17'],['el_salvador'],[[]]
Alfredo Sadel,Fecha de defunción,['1989-06-28'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Sadel?,['1989-06-28'],['venezuela'],[[]]
Alfredo Seiferheld,Fecha de defunción,['1988-06-03'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Seiferheld?,['1988-06-03'],['paraguay'],[[]]
Alfredo Stroessner,Fecha de defunción,['2006-08-16'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Stroessner?,['2006-08-16'],['paraguay'],[[]]
Alfredo Vega,Fecha de defunción,['2012-02-14'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Vega?,['2012-02-14'],['paraguay'],[[]]
Alfredo Vera Vera,Fecha de defunción,['1999-07-18'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Vera Vera?,['1999-07-18'],['ecuador'],[[]]
Alfredo Wyld,Fecha de defunción,['1947-04-23'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Wyld?,['1947-04-23'],['guatemala'],[[]]
Alfredo Zayas y Alfonso,Fecha de defunción,['1934-04-11'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Zayas y Alfonso?,['1934-04-11'],['cuba'],[[]]
Alfredo de Ángelis,Fecha de defunción,['1992-03-31'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo de Ángelis?,['1992-03-31'],['argentina'],[[]]
Alfredo del Mónaco,Fecha de defunción,['2015-06-27'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo del Mónaco?,['2015-06-27'],['venezuela'],[[]]
Alice Lardé de Venturino,Fecha de defunción,['1983-10-14'],Contesta la siguiente pregunta: ¿Cuándo falleció Alice Lardé de Venturino?,['1983-10-14'],['el_salvador'],[[]]
Alicia Alonso,Fecha de defunción,['2019-10-17'],Contesta la siguiente pregunta: ¿Cuándo falleció Alicia Alonso?,['2019-10-17'],['cuba'],[[]]
Alicia Delgado,Fecha de defunción,['2009-06-24'],Contesta la siguiente pregunta: ¿Cuándo falleció Alicia Delgado?,['2009-06-24'],['peru'],[[]]
Alirio Díaz,Fecha de defunción,['2016-07-05'],Contesta la siguiente pregunta: ¿Cuándo falleció Alirio Díaz?,['2016-07-05'],['venezuela'],[['Wikinoticias:2016/07/05']]
Alonso Anguciana de Gamboa,Fecha de defunción,['1700-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Alonso Anguciana de Gamboa?,['1700-01-01'],['costa_rica'],[[]]
Alonso Correque,Fecha de defunción,['1699-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Alonso Correque?,['1699-01-01'],['costa_rica'],[[]]
Alí Primera,Fecha de defunción,['1985-02-16'],Contesta la siguiente pregunta: ¿Cuándo falleció Alí Primera?,['1985-02-16'],['venezuela'],[[]]
Amadeo Ortega,Fecha de defunción,"['1982-10-17', '1983-10-17']",Contesta la siguiente pregunta: ¿Cuándo falleció Amadeo Ortega?,"['1982-10-17', '1983-10-17']","['paraguay', 'paraguay']","[[], []]"
Amadeo Roldán,Fecha de defunción,['1939-03-07'],Contesta la siguiente pregunta: ¿Cuándo falleció Amadeo Roldán?,['1939-03-07'],['cuba'],[[]]
Amado García Guerrero,Fecha de defunción,['1961-06-02'],Contesta la siguiente pregunta: ¿Cuándo falleció Amado García Guerrero?,['1961-06-02'],['republica_dominicana'],[[]]
Amelia Denis de Icaza,Fecha de defunción,['1911-07-16'],Contesta la siguiente pregunta: ¿Cuándo falleció Amelia Denis de Icaza?,['1911-07-16'],['panama'],[[]]
Amelia Earhart,Fecha de defunción,['1939-01-05'],Contesta la siguiente pregunta: ¿Cuándo falleció Amelia Earhart?,['1939-01-05'],['usa'],[[]]
Amábilis Cordero,Fecha de defunción,['1974-01-06'],Contesta la siguiente pregunta: ¿Cuándo falleció Amábilis Cordero?,['1974-01-06'],['venezuela'],[[]]
Américo Gregorio Martín Estaba,Fecha de defunción,['2022-02-17'],Contesta la siguiente pregunta: ¿Cuándo falleció Américo Gregorio Martín Estaba?,['2022-02-17'],['venezuela'],[[]]
Amílcar Henríquez,Fecha de defunción,['2017-04-15'],Contesta la siguiente pregunta: ¿Cuándo falleció Amílcar Henríquez?,['2017-04-15'],['panama'],[[]]
Ana Gasteazoro,Fecha de defunción,['1993-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Ana Gasteazoro?,['1993-01-01'],['el_salvador'],[[]]
Ana Ilce Gómez Ortega,Fecha de defunción,['2017-11-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Ana Ilce Gómez Ortega?,['2017-11-01'],['nicaragua'],[[]]
Ana Isabel Illueca,Fecha de defunción,['1994-09-25'],Contesta la siguiente pregunta: ¿Cuándo falleció Ana Isabel Illueca?,['1994-09-25'],['panama'],[[]]
Ana Luisa Llovera,Fecha de defunción,['1999-02-24'],Contesta la siguiente pregunta: ¿Cuándo falleció Ana Luisa Llovera?,['1999-02-24'],['venezuela'],[[]]
Ana Mendieta,Fecha de defunción,['1985-09-08'],Contesta la siguiente pregunta: ¿Cuándo falleció Ana Mendieta?,['1985-09-08'],['cuba'],[[]]
Ana Mercedes Asuaje de Rugeles,Fecha de defunción,['2012-04-21'],Contesta la siguiente pregunta: ¿Cuándo falleció Ana Mercedes Asuaje de Rugeles?,['2012-04-21'],['venezuela'],[[]]
Ana Valverde,Fecha de defunción,['1864-11-20'],Contesta la siguiente pregunta: ¿Cuándo falleció Ana Valverde?,['1864-11-20'],['republica_dominicana'],[[]]
Anacleto Angelini,Fecha de defunción,['2007-08-28'],Contesta la siguiente pregunta: ¿Cuándo falleció Anacleto Angelini?,['2007-08-28'],['chile'],[[]]
Ananías Maidana Palacios,Fecha de defunción,['2010-10-30'],Contesta la siguiente pregunta: ¿Cuándo falleció Ananías Maidana Palacios?,['2010-10-30'],['paraguay'],[[]]
Anastasio Aquino,Fecha de defunción,['1833-07-24'],Contesta la siguiente pregunta: ¿Cuándo falleció Anastasio Aquino?,['1833-07-24'],['el_salvador'],[[]]
Anastasio Bustamante,Fecha de defunción,['1853-02-06'],Contesta la siguiente pregunta: ¿Cuándo falleció Anastasio Bustamante?,['1853-02-06'],['mexico'],[[]]
Anastasio Ortiz,Fecha de defunción,['1999-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Anastasio Ortiz?,['1999-01-01'],['nicaragua'],[[]]
Anastasio Somoza Debayle,Fecha de defunción,['1980-09-17'],Contesta la siguiente pregunta: ¿Cuándo falleció Anastasio Somoza Debayle?,['1980-09-17'],['nicaragua'],[[]]
Anastasio Somoza García,Fecha de defunción,['1956-09-29'],Contesta la siguiente pregunta: ¿Cuándo falleció Anastasio Somoza García?,['1956-09-29'],['nicaragua'],[[]]
Anaïs Nin,Fecha de defunción,['1977-01-14'],Contesta la siguiente pregunta: ¿Cuándo falleció Anaïs Nin?,['1977-01-14'],['cuba'],[[]]
Andes Meza,Fecha de defunción,['1933-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Andes Meza?,['1933-01-01'],['costa_rica'],[[]]
Andrew Johnson,Fecha de defunción,['1875-07-31'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrew Johnson?,['1875-07-31'],['usa'],[[]]
Andrés Aguilar Mawdsley,Fecha de defunción,['1995-10-24'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Aguilar Mawdsley?,['1995-10-24'],['venezuela'],[[]]
Andrés Arturo Mack,Fecha de defunción,['1936-10-06'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Arturo Mack?,['1936-10-06'],['argentina'],[[]]
Andrés Avelino Cáceres,Fecha de defunción,['1923-10-10'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Avelino Cáceres?,['1923-10-10'],['peru'],[[]]
Andrés Barbero,Fecha de defunción,['1951-02-14'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Barbero?,['1951-02-14'],['paraguay'],[[]]
Andrés Bello,Fecha de defunción,['1865-10-15'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Bello?,['1865-10-15'],['chile'],[[]]
Andrés Castro Estrada,Fecha de defunción,['1876-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Castro Estrada?,['1876-01-01'],['nicaragua'],[[]]
Andrés Delgado Pardo,Fecha de defunción,['1940-04-08'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Delgado Pardo?,['1940-04-08'],['venezuela'],[[]]
Andrés Escobar,Fecha de defunción,['1994-07-02'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Escobar?,['1994-07-02'],['colombia'],[[]]
Andrés F. Córdova,Fecha de defunción,['1983-10-03'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés F. Córdova?,['1983-10-03'],['ecuador'],[[]]
Andrés Ignacio Menéndez,Fecha de defunción,['1962-06-07'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Ignacio Menéndez?,['1962-06-07'],['el_salvador'],[[]]
Andrés López de Medrano,Fecha de defunción,['1856-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés López de Medrano?,['1856-01-01'],['republica_dominicana'],[[]]
Andrés Madariaga,Fecha de defunción,['1920-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Madariaga?,['1920-01-01'],['chile'],[[]]
Andrés Mata,Fecha de defunción,['1931-11-18'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Mata?,['1931-11-18'],['venezuela'],[[]]
Andrés Rodríguez Pedotti,Fecha de defunción,['1997-04-21'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Rodríguez Pedotti?,['1997-04-21'],['paraguay'],[[]]
Andrés Rodríguez de Villegas,Fecha de defunción,['1633-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Rodríguez de Villegas?,['1633-01-01'],['venezuela'],[[]]
Andrés Sandoval,Fecha de defunción,['2004-05-02'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Sandoval?,['2004-05-02'],['venezuela'],[[]]
Andrés Sáenz Llorente,Fecha de defunción,['1911-03-14'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Sáenz Llorente?,['1911-03-14'],['costa_rica'],[[]]
Andrés Venegas,Fecha de defunción,['1939-11-09'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés Venegas?,['1939-11-09'],['costa_rica'],[[]]
Andrés de Santa Cruz,Fecha de defunción,['1865-09-25'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés de Santa Cruz?,['1865-09-25'],['peru'],[[]]
Andrés del Valle,Fecha de defunción,['1888-06-28'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrés del Valle?,['1888-06-28'],['el_salvador'],[[]]
Andrónico Lukšić Abaroa,Fecha de defunción,['2005-08-18'],Contesta la siguiente pregunta: ¿Cuándo falleció Andrónico Lukšić Abaroa?,['2005-08-18'],['chile'],[[]]
Andy Warhol,Fecha de defunción,['1987-02-22'],Contesta la siguiente pregunta: ¿Cuándo falleció Andy Warhol?,['1987-02-22'],['usa'],[[]]
Andújar Cedeño,Fecha de defunción,['2000-10-28'],Contesta la siguiente pregunta: ¿Cuándo falleció Andújar Cedeño?,['2000-10-28'],['republica_dominicana'],[[]]
Angel Bracho,Fecha de defunción,['2005-02-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Angel Bracho?,['2005-02-01'],['mexico'],[[]]
Angelina Acuña,Fecha de defunción,['2006-06-14'],Contesta la siguiente pregunta: ¿Cuándo falleció Angelina Acuña?,['2006-06-14'],['guatemala'],[[]]
Angélica Gorodischer,Fecha de defunción,['2022-02-05'],Contesta la siguiente pregunta: ¿Cuándo falleció Angélica Gorodischer?,['2022-02-05'],['argentina'],[[]]
Aniana Vargas,Fecha de defunción,['2002-12-16'],Contesta la siguiente pregunta: ¿Cuándo falleció Aniana Vargas?,['2002-12-16'],['republica_dominicana'],[[]]
Aniceto Esquivel Sáenz,Fecha de defunción,['1898-10-22'],Contesta la siguiente pregunta: ¿Cuándo falleció Aniceto Esquivel Sáenz?,['1898-10-22'],['costa_rica'],[[]]
Aniceto Porsisoca,Fecha de defunción,['1993-06-09'],Contesta la siguiente pregunta: ¿Cuándo falleció Aniceto Porsisoca?,['1993-06-09'],['el_salvador'],[[]]
Anita Lizana,Fecha de defunción,['1994-08-21'],Contesta la siguiente pregunta: ¿Cuándo falleció Anita Lizana?,['1994-08-21'],['chile'],[[]]
Annie Easley,Fecha de defunción,['2011-06-25'],Contesta la siguiente pregunta: ¿Cuándo falleció Annie Easley?,['2011-06-25'],['usa'],[[]]
Anselmo Paiz,Fecha de defunción,['1875-02-22'],Contesta la siguiente pregunta: ¿Cuándo falleció Anselmo Paiz?,['1875-02-22'],['el_salvador'],[[]]
Anselmo Sacasas,Fecha de defunción,['1998-01-22'],Contesta la siguiente pregunta: ¿Cuándo falleció Anselmo Sacasas?,['1998-01-22'],['cuba'],[[]]
Anselmo Sule,Fecha de defunción,['2002-06-07'],Contesta la siguiente pregunta: ¿Cuándo falleció Anselmo Sule?,['2002-06-07'],['chile'],[[]]
Anthony Quinn,Fecha de defunción,['2001-06-03'],Contesta la siguiente pregunta: ¿Cuándo falleció Anthony Quinn?,['2001-06-03'],['mexico'],[[]]
Anthony Rios,Fecha de defunción,['2019-03-04'],Contesta la siguiente pregunta: ¿Cuándo falleció Anthony Rios?,['2019-03-04'],['republica_dominicana'],[[]]
Anthony Vargas,Fecha de defunción,['2022-10-24'],Contesta la siguiente pregunta: ¿Cuándo falleció Anthony Vargas?,['2022-10-24'],['costa_rica'],[[]]
Antonia Palacios,Fecha de defunción,['2001-03-13'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonia Palacios?,['2001-03-13'],['venezuela'],[[]]
Antonio Alvarez Lleras,Fecha de defunción,['1956-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Alvarez Lleras?,['1956-01-01'],['colombia'],[[]]
Antonio Arenas,Fecha de defunción,['1891-12-27'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Arenas?,['1891-12-27'],['peru'],[[]]
Antonio Arias Bernal,Fecha de defunción,['1960-12-30'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Arias Bernal?,['1960-12-30'],['mexico'],[[]]
Antonio Attolini Lack,Fecha de defunción,['2012-02-28'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Attolini Lack?,['2012-02-28'],['mexico'],[[]]
Antonio Bayter Abud,Fecha de defunción,['2020-08-21'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Bayter Abud?,['2020-08-21'],['colombia'],[[]]
Antonio Brack Egg,Fecha de defunción,['2014-12-30'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Brack Egg?,['2014-12-30'],['peru'],[[]]
Antonio Cabrera,Fecha de defunción,['http://www.wikidata.org/.well-known/genid/e6a3f804df7d4ca740c907c0010341cb'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Cabrera?,['http://www.wikidata.org/.well-known/genid/e6a3f804df7d4ca740c907c0010341cb'],['paraguay'],[[]]
Antonio Cajamarca Yánez,Fecha de defunción,['1995-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Cajamarca Yánez?,['1995-01-01'],['ecuador'],[[]]
Antonio Carbajal,Fecha de defunción,['2023-05-09'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Carbajal?,['2023-05-09'],['mexico'],[[]]
Antonio Castro Leal,Fecha de defunción,['1981-01-07'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Castro Leal?,['1981-01-07'],['mexico'],[[]]
Antonio Cornejo Polar,Fecha de defunción,['1997-05-18'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Cornejo Polar?,['1997-05-18'],['peru'],[[]]
Antonio Domínguez Richa,Fecha de defunción,['2020-04-15'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Domínguez Richa?,['2020-04-15'],['panama'],[[]]
Antonio Estévez,Fecha de defunción,['1988-11-26'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Estévez?,['1988-11-26'],['venezuela'],[[]]
Antonio Flores Jijón,Fecha de defunción,['1915-08-30'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Flores Jijón?,['1915-08-30'],['ecuador'],[[]]
Antonio Goubaud Carrera,Fecha de defunción,['1951-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Goubaud Carrera?,['1951-01-01'],['guatemala'],[[]]
Antonio Grimaldi,Fecha de defunción,['1903-04-11'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Grimaldi?,['1903-04-11'],['el_salvador'],[[]]
Antonio Guasch,Fecha de defunción,['1965-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Guasch?,['1965-01-01'],['paraguay'],[[]]
Antonio Guzmán,Fecha de defunción,['1982-07-04'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Guzmán?,['1982-07-04'],['republica_dominicana'],[[]]
Antonio Gálvez Ronceros,Fecha de defunción,['2023-06-20'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Gálvez Ronceros?,['2023-06-20'],['peru'],[[]]
Antonio Ignacio Velasco García,Fecha de defunción,['2003-07-06'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Ignacio Velasco García?,['2003-07-06'],['venezuela'],[[]]
Antonio Imbert Barrera,Fecha de defunción,['2016-05-31'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Imbert Barrera?,['2016-05-31'],['republica_dominicana'],[[]]
Antonio Jasso,Fecha de defunción,['2013-06-26'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Jasso?,['2013-06-26'],['mexico'],[[]]
Antonio José Cañas,Fecha de defunción,['1844-02-24'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio José Cañas?,['1844-02-24'],['el_salvador'],[[]]
Antonio José González Zumárraga,Fecha de defunción,['2008-10-13'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio José González Zumárraga?,['2008-10-13'],['ecuador'],[[]]
Antonio José López Castillo,Fecha de defunción,['2021-07-18'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio José López Castillo?,['2021-07-18'],['venezuela'],[[]]
Antonio José Ramírez Salaverría,Fecha de defunción,['2014-06-28'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio José Ramírez Salaverría?,['2014-06-28'],['venezuela'],[[]]
Antonio José Rivas,Fecha de defunción,['1995-04-14'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio José Rivas?,['1995-04-14'],['honduras'],[[]]
Antonio José de Irisarri,Fecha de defunción,['1868-06-10'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio José de Irisarri?,['1868-06-10'],['chile'],[[]]
Antonio Julio de la Hoz,Fecha de defunción,['2010-06-16'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Julio de la Hoz?,['2010-06-16'],['colombia'],[[]]
Antonio Lacayo Oyanguren,Fecha de defunción,['2015-11-17'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Lacayo Oyanguren?,['2015-11-17'],['nicaragua'],[[]]
Antonio Lauro,Fecha de defunción,['1986-04-18'],Contesta la siguiente pregunta: ¿Cuándo falleció Antonio Lauro?,['1986-04-18'],['venezuela'],[[]]
